UrusanPemerintahan,Organisasi,KodeRekening,Uraian,Jumlah
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.066 Kelurahan Mangga Dua Selatan - JAKPUS,1.20 066 27 004,"Penyediaan Operasional RT, RW dan LMK",3.025.991.194
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.066 Kelurahan Mangga Dua Selatan - JAKPUS,1.20 066 27 005,Pelaksanaan Penertiban Kelurahan,19.206.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.066 Kelurahan Mangga Dua Selatan - JAKPUS,1.20 066 27 006,Penyelenggaraan dan Partisipasi Kegiatan Kemasyarakatan,12.747.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.066 Kelurahan Mangga Dua Selatan - JAKPUS,1.20 066 27 007,Penanggulangan Bencana Kelurahan Mangga Dua Selatan JAKPUS,23.347.500
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.066 Kelurahan Mangga Dua Selatan - JAKPUS,1.20 066 27 008,Dukungan Pelaksanaan Penanganan Segera di Kelurahan,2.178.812.796
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.066 Kelurahan Mangga Dua Selatan - JAKPUS,1.20 066 27 009,Bimtek dan Pendataan Dasawisma,162.824.430
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.066 Kelurahan Mangga Dua Selatan - JAKPUS,1.20 066 27 010,Pemberian Makanan Tambahan (PMT),54.982.400
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.066 Kelurahan Mangga Dua Selatan - JAKPUS,1.20 066 61 001,Penyelenggaran Operasional Kelurahan Mangga Dua Selatan - JAKPUS,669.695.344
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.066 Kelurahan Mangga Dua Selatan - JAKPUS,1.20 066 61 002,Penyediaan Jasa TALI dan IPAL (12 bulan),203.251.200
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.066 Kelurahan Mangga Dua Selatan - JAKPUS,1.20 066 61 003,Penatausahaan Kelurahan Mangga Dua Selatan - JAKPUS,78.713.462
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.066 Kelurahan Mangga Dua Selatan - JAKPUS,1.20 066 63 001,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,22.591.038
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.067 Kecamatan Gambir - JAKPUS,1.20 067 00 000 5,BELANJA DAERAH,4.690.493.065
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.067 Kecamatan Gambir - JAKPUS,1.20 067 26 001,Pengadaan sarana dan Prasarana Kecamatan Gambir,367.742.364
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.067 Kecamatan Gambir - JAKPUS,1.20 067 26 002,Penanganan Ketertiban Masyarakat Kecamatan Gambir,349.458.200
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.067 Kecamatan Gambir - JAKPUS,1.20 067 26 003,Penanganan Saluran Kecamatan Gambir,217.447.274
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.067 Kecamatan Gambir - JAKPUS,1.20 067 26 004,Penanganan Jalan Kecamatan Gambir,634.698.174
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.067 Kecamatan Gambir - JAKPUS,1.20 067 26 005,Penanganan Pertamanan Kecamatan Gambir,279.512.477
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.067 Kecamatan Gambir - JAKPUS,1.20 067 26 006,Penanganan Kebersihan Lingkungan Kecamatan Gambir,452.905.662
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.067 Kecamatan Gambir - JAKPUS,1.20 067 26 007,Penyelenggaraan Tugas dan Fungsi Kecamatan,784.389.291
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.067 Kecamatan Gambir - JAKPUS,1.20 067 26 008,Penyelenggaraan Koordinasi Pelaksanaan Tugas dan Fungsi Kecamatan Gambir,37.787.100
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.067 Kecamatan Gambir - JAKPUS,1.20 067 26 009,Penatausahaan Kecamatan Gambir,274.752.792
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.067 Kecamatan Gambir - JAKPUS,1.20 067 26 010,Penyelenggaraan dan Partisipasi Kegiatan Kemasyarakatan,69.640.013
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.067 Kecamatan Gambir - JAKPUS,1.20 067 26 011,Penanggulangan Bencana Kecamatan Gambir,49.954.075
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.067 Kecamatan Gambir - JAKPUS,1.20 067 61 001,Penyelenggaran Operasional Kecamatan Gambir,689.621.563
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.067 Kecamatan Gambir - JAKPUS,1.20 067 61 002,Penyediaan Jasa TALI dan IPAL (12 bulan),437.862.480
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.067 Kecamatan Gambir - JAKPUS,1.20 067 63 001,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,44.721.600
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.068 Kelurahan Cideng - JAKPUS,1.20 068 00 000 5,BELANJA DAERAH,7.129.208.975
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.068 Kelurahan Cideng - JAKPUS,1.20 068 27 001,Penyelenggaraan peningkatan Pelayanan Kapasitas Kelurahan Cideng - JAKPUS,109.997.383
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.068 Kelurahan Cideng - JAKPUS,1.20 068 27 002,Pelaksanaan Kerja Bakti,150.787.708
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.068 Kelurahan Cideng - JAKPUS,1.20 068 27 003,Pengadaan sarana dan Prasarana Kelurahan Kelurahan Cideng - JAKPUS,98.902.250
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.068 Kelurahan Cideng - JAKPUS,1.20 068 27 004,Pengadaan sarana dan Prasarana Ketertiban Masyarakat Kelurahan Cideng - JAKPUS,64.435.950
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.068 Kelurahan Cideng - JAKPUS,1.20 068 27 005,Pengadaan sarana dan Prasarana Kebersihan Masyarakat Kelurahan Cideng - JAKPUS,81.799.637
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.068 Kelurahan Cideng - JAKPUS,1.20 068 27 006,Pembinaan Masyarakat dan Lembaga Kemasyarakatan Kelurahan Cideng - JAKPUS,1.168.494.850
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.068 Kelurahan Cideng - JAKPUS,1.20 068 27 007,"Penyediaan Operasional RT, RW dan LMK",1.669.800.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.068 Kelurahan Cideng - JAKPUS,1.20 068 27 008,Penyelenggaraan Tugas dan Fungsi Kelurahan,445.356.364
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.068 Kelurahan Cideng - JAKPUS,1.20 068 27 009,Pelaksanaan Penertiban Kelurahan,137.886.200
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.068 Kelurahan Cideng - JAKPUS,1.20 068 27 010,Penyelenggaraan dan Partisipasi Kegiatan Kemasyarakatan,47.932.500
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.068 Kelurahan Cideng - JAKPUS,1.20 068 27 011,Penanggulangan Bencana Kelurahan Cideng - JAKPUS,24.886.100
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.068 Kelurahan Cideng - JAKPUS,1.20 068 27 012,Dukungan Pelaksanaan Penanganan Segera di Kelurahan,2.132.187.773
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.068 Kelurahan Cideng - JAKPUS,1.20 068 27 013,Bimtek dan Pendataan Dasawisma,199.729.500
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.068 Kelurahan Cideng - JAKPUS,1.20 068 27 014,Pemberian Makanan Tambahan (PMT),53.652.725
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.068 Kelurahan Cideng - JAKPUS,1.20 068 61 001,Penyelenggaran Operasional Kelurahan Cideng - JAKPUS,413.797.812
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.068 Kelurahan Cideng - JAKPUS,1.20 068 61 002,Penyediaan Jasa TALI dan IPAL (12 bulan),211.364.969
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.068 Kelurahan Cideng - JAKPUS,1.20 068 61 003,Penatausahaan Kelurahan Cideng - JAKPUS,93.197.554
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.068 Kelurahan Cideng - JAKPUS,1.20 068 63 001,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,24.999.700
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.069 Kelurahan Petojo Selatan - JAKPUS,1.20 069 00 000 5,BELANJA DAERAH,6.330.170.218
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.069 Kelurahan Petojo Selatan - JAKPUS,1.20 069 27 001,Penyelenggaraan peningkatan Pelayanan Kapasitas Kelurahan Petojo Selatan - JAKPUS,109.942.508
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.069 Kelurahan Petojo Selatan - JAKPUS,1.20 069 27 002,Pelaksanaan Kerja Bakti,29.995.400
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.069 Kelurahan Petojo Selatan - JAKPUS,1.20 069 27 003,Pengadaan sarana dan Prasarana Kelurahan Petojo Selatan JAKPUS,119.829.068
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.069 Kelurahan Petojo Selatan - JAKPUS,1.20 069 27 004,Pengadaan sarana dan Prasarana Kesehatan Masyarakat Kelurahan Petojo Selatan - JAKPUS,196.587.072
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.069 Kelurahan Petojo Selatan - JAKPUS,1.20 069 27 005,Pengadaan sarana dan Prasarana Ketertiban Masyarakat Kelurahan Petojo Selatan - JAKPUS,49.712.300
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.069 Kelurahan Petojo Selatan - JAKPUS,1.20 069 27 006,Pengadaan sarana dan Prasarana Kebersihan Masyarakat Kelurahan Petojo Selatan - JAKPUS,372.389.150
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.069 Kelurahan Petojo Selatan - JAKPUS,1.20 069 27 007,Pembinaan Masyarakat dan Lembaga Kemasyarakatan Kelurahan Petojo Selatan - JAKPUS,299.707.288
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.069 Kelurahan Petojo Selatan - JAKPUS,1.20 069 27 008,"Penyediaan Operasional RT, RW dan LMK",1.399.960.500
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.069 Kelurahan Petojo Selatan - JAKPUS,1.20 069 27 009,Penyelenggaraan Tugas dan Fungsi Kelurahan Petojo Selatan,469.808.945
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.069 Kelurahan Petojo Selatan - JAKPUS,1.20 069 27 010,Penyelenggaraan dan Partisipasi Kegiatan Kemasyarakatan,24.894.800
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.069 Kelurahan Petojo Selatan - JAKPUS,1.20 069 27 011,Penanggulangan Bencana Kelurahan Petojo Selatan JAKPUS,64.903.500
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.069 Kelurahan Petojo Selatan - JAKPUS,1.20 069 27 012,Dukungan Pelaksanaan Penanganan Segera di Kelurahan,2.132.190.289
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.069 Kelurahan Petojo Selatan - JAKPUS,1.20 069 27 013,Bimtek dan Pendataan Dasawisma,199.999.500
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.069 Kelurahan Petojo Selatan - JAKPUS,1.20 069 61 001,Penyelenggaran Operasional Kelurahan Petojo Selatan JAKPUS,418.999.075
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.069 Kelurahan Petojo Selatan - JAKPUS,1.20 069 61 002,Penyediaan Jasa TALI dan IPAL (12 bulan),166.450.360
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.069 Kelurahan Petojo Selatan - JAKPUS,1.20 069 61 003,Penatausahaan Kelurahan Petojo Selatan - JAKPUS,249.881.469
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.069 Kelurahan Petojo Selatan - JAKPUS,1.20 069 63 001,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,24.918.994
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 00 000 5,BELANJA DAERAH,5.950.090.614
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 27 001,Penyelenggaraan peningkatan Pelayanan Kapasitas Kelurahan Gambir - JAKPUS,99.243.260
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 27 002,Pelaksanaan Kerja Bakti,79.427.810
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 27 003,Pengadaan sarana dan Prasarana Kelurahan Gambir JAKPUS,259.683.655
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 27 004,Pengadaan sarana dan Prasarana Kesehatan Masyarakat Kelurahan Gambir - JAKPUS,51.493.048
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 27 005,Pengadaan sarana dan Prasarana Ketertiban Masyarakat Kelurahan Gambir - JAKPUS,24.835.775
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 27 006,Pengadaan sarana dan Prasarana Kebersihan Masyarakat Kelurahan Gambir - JAKPUS,59.218.500
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 27 007,Pembinaan Masyarakat dan Lembaga Kemasyarakatan Kelurahan Gambir - JAKPUS,757.543.466
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 27 008,"Penyediaan Operasional RT, RW dan LMK",261.300.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 27 009,Penyelenggaraan Tugas dan Fungsi Kelurahan,82.432.100
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 27 010,Pelaksanaan Penertiban Kelurahan,120.075.185
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 27 011,Penyelenggaraan Koordinasi Pelaksanaan Tugas dan Fungsi Kelurahan Gambir - JAKPUS,17.999.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 27 012,Penyelenggaraan dan Partisipasi Kegiatan Kemasyarakatan,29.995.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 27 013,Penanggulangan Bencana Kelurahan Gambir - JAKPUS,24.638.500
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 27 014,Dukungan Pelaksanaan Penanganan Segera di Kelurahan,2.533.579.260
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 27 015,Bimtek dan Pendataan Dasawisma,199.728.500
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 27 016,Pemberian Makanan Tambahan (PMT),54.928.640
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 61 001,Penyelenggaran Operasional Kelurahan Gambir - JAKPUS,476.053.956
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 61 002,Penyediaan Jasa TALI dan IPAL (12 bulan),534.866.416
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 61 003,Penatausahaan Kelurahan Gambir - JAKPUS,223.350.343
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.070 Kelurahan Gambir - JAKPUS,1.20 070 63 001,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,59.698.200
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.071 Kelurahan Kebon Kelapa - JAKPUS,1.20 071 00 000 5,BELANJA DAERAH,5.393.524.561
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.071 Kelurahan Kebon Kelapa - JAKPUS,1.20 071 27 001,Penyelenggaraan peningkatan Pelayanan Kapasitas Kelurahan Kebon Kelapa - JAKPUS,94.970.275
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.071 Kelurahan Kebon Kelapa - JAKPUS,1.20 071 27 002,Pelaksanaan Kerja Bakti,79.945.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.071 Kelurahan Kebon Kelapa - JAKPUS,1.20 071 27 003,Pengadaan sarana dan Prasarana Kelurahan Kebon Kelapa JAKPUS,144.978.370
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.071 Kelurahan Kebon Kelapa - JAKPUS,1.20 071 27 004,Pengadaan sarana dan Prasarana Ketertiban Masyarakat Kelurahan Kebon Kelapa - JAKPUS,87.285.400
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.071 Kelurahan Kebon Kelapa - JAKPUS,1.20 071 27 005,Pengadaan sarana dan Prasarana Kebersihan Masyarakat Kelurahan Kebon Kelapa - JAKPUS,195.908.755
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.071 Kelurahan Kebon Kelapa - JAKPUS,1.20 071 27 006,Pembinaan Masyarakat dan Lembaga Kemasyarakatan Kelurahan Kebon Kelapa - JAKPUS,425.830.908
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.071 Kelurahan Kebon Kelapa - JAKPUS,1.20 071 27 007,"Penyediaan Operasional RT, RW dan LMK",714.900.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.071 Kelurahan Kebon Kelapa - JAKPUS,1.20 071 27 008,Penyelenggaraan Tugas dan Fungsi Kelurahan,209.251.500
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.071 Kelurahan Kebon Kelapa - JAKPUS,1.20 071 27 009,Pelaksanaan Penertiban Kelurahan,64.960.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.071 Kelurahan Kebon Kelapa - JAKPUS,1.20 071 27 010,Penyelenggaraan Koordinasi Pelaksanaan Tugas dan Fungsi Kelurahan Kebon Kelapa - JAKPUS,29.955.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.071 Kelurahan Kebon Kelapa - JAKPUS,1.20 071 27 011,Penyelenggaraan dan Partisipasi Kegiatan Kemasyarakatan,14.921.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.071 Kelurahan Kebon Kelapa - JAKPUS,1.20 071 27 012,Penanggulangan Bencana Kelurahan Kebon Kelapa JAKPUS,24.999.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.071 Kelurahan Kebon Kelapa - JAKPUS,1.20 071 27 013,Dukungan Pelaksanaan Penanganan Segera di Kelurahan,2.131.603.974
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.071 Kelurahan Kebon Kelapa - JAKPUS,1.20 071 27 014,Bimtek dan Pendataan Dasawisma,199.633.880
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.071 Kelurahan Kebon Kelapa - JAKPUS,1.20 071 27 015,Pemberian Makanan Tambahan (PMT),54.910.000
